,year_month,model,monthly_return,n,monthly_return_index,monthly_return_vs_index,score
25,2008-03,156.0-53.0-30,0.025770625376700718,9,-0.013824540427439858,1.040150224201789,0.07723919541391616
26,2008-04,156.0-53.0-30,0.10222454026752303,9,0.04766234750322029,1.0520799405403227,0.09908475718895106
27,2008-05,156.0-53.0-30,0.05089013825605493,6,0.01511644727325323,1.0352409726774647,0.06810896328643871
28,2008-06,156.0-53.0-30,-0.02798052955854835,8,-0.0881368008550053,1.0659707194597416,0.12393424603954095
29,2008-07,156.0-53.0-30,-0.11282455708578376,8,-0.008985779027973151,0.8952196892230655,-0.2351663128809327
30,2008-08,156.0-53.0-30,-0.01844585098217255,7,0.01545375699755569,0.9666162956745948,-0.06910081515281324
31,2008-09,156.0-53.0-30,-0.11891566875350457,8,-0.09938659833838026,0.9783158118909918,-0.044336889760530324
32,2008-10,156.0-53.0-30,-0.1109553296994309,7,-0.16518665402189847,1.0649622153068576,0.1221507549248952
33,2008-11,156.0-53.0-30,-0.05296483027132981,8,-0.06960652690281932,1.017886729768311,0.03514845152492659
34,2008-12,156.0-53.0-30,-0.030241116312611727,8,0.0016650016650014976,0.9681469174578549,-0.06582592557706443
35,2009-01,156.0-53.0-30,-0.09834660821998664,10,-0.0821143617021276,0.9823156111822818,-0.03600940367230316
36,2009-02,156.0-53.0-30,-0.03838941891435155,8,-0.10744899191114321,1.077373250795675,0.14388084074299703
37,2009-03,156.0-53.0-30,0.05665827493105424,6,0.07561206546733379,0.9823785999201817,-0.03587881568439055
38,2009-04,156.0-53.0-30,-0.04332973473485069,9,0.0993460764587526,0.8702175645605659,-0.3005172532695754
39,2009-05,156.0-53.0-30,0.03741688878609328,8,0.058453443148021034,0.9801251963436753,-0.04056120281337839
40,2009-06,156.0-53.0-30,-0.022502673566778264,6,-0.0062682373284339565,0.983663160574943,-0.0332193832159652
41,2009-07,156.0-53.0-30,0.1397700926765344,6,0.07460576400217511,1.0606402188200317,0.11447128018969888
42,2009-08,156.0-53.0-30,0.12067470583157891,7,0.03693958101406736,1.0807521733673464,0.14971601556716393
43,2009-09,156.0-53.0-30,0.08278680070852329,7,0.0305485067343354,1.050689796387871,0.09656356923418903
44,2009-10,156.0-53.0-30,-0.07511990556915771,6,-0.01922530542665024,0.9430097447948304,-0.12101633133946596
45,2009-11,156.0-53.0-30,0.05507549782892296,5,0.06160679799150248,0.993847721986204,-0.012380883843290858
46,2009-12,156.0-53.0-30,0.06118950449025462,5,0.01364380571220658,1.0469057261634835,0.08966834209602562
47,2010-01,156.0-53.0-30,-0.06457354420705774,5,-0.036342426417803275,0.9707042018210772,-0.060378223305252346
48,2010-02,156.0-53.0-30,0.13328461526865953,6,0.031194710866933484,1.0990015787764256,0.18065613537663822
49,2010-03,156.0-53.0-30,0.1124118573563857,7,0.05652880621275069,1.0528930690909926,0.10055651928695292
50,2010-04,156.0-53.0-30,0.030446366297046223,8,0.015470085470085548,1.0147481260563453,0.029069606986307957
51,2010-05,156.0-53.0-30,-0.0912015830808387,8,-0.07945459136436328,0.9872390958596101,-0.025853139228781737
52,2010-06,156.0-53.0-30,-0.09138266570741171,9,-0.05623114199506263,0.962754096605119,-0.07741229426845296
53,2010-07,156.0-53.0-30,0.05026955740188388,9,0.06830071691532646,0.98312164428242,-0.0343396249624908
54,2010-08,156.0-53.0-30,0.006625938839696532,10,-0.04498050240319207,1.0540370551310734,0.10262347260647164
55,2010-09,156.0-53.0-30,0.09060245315344395,5,0.08375273003513439,1.0063203744991605,0.012561521693740212
